job_id,job_title,company,location,category,experience_level,required_skills,job_description
1,Junior Python Developer,TechNova Solutions,Bangalore,Software Engineering,Entry Level,"Python, Django, REST APIs, SQL, Git, HTML, CSS","We are looking for a Junior Python Developer to join our backend team. You will work on building scalable web applications using Django and REST APIs. Responsibilities include writing clean Python code, designing database schemas with SQL, collaborating with frontend developers, and participating in code reviews. Knowledge of version control with Git is essential. Experience with cloud platforms like AWS is a plus."
2,Senior Data Scientist,DataMinds Analytics,Hyderabad,Data Science,Senior,"Python, Machine Learning, TensorFlow, Pandas, NumPy, SQL, Statistics, Deep Learning, NLP","Seeking an experienced Data Scientist to lead our ML initiatives. You will design and implement machine learning models for predictive analytics, natural language processing, and recommendation systems. Must have strong expertise in Python, TensorFlow, and statistical modeling. You will mentor junior team members and present insights to stakeholders. Experience with big data tools like Spark is beneficial."
3,Full Stack Web Developer,CloudBridge Inc,Remote,Web Development,Mid Level,"JavaScript, React, Node.js, MongoDB, Express.js, HTML, CSS, TypeScript, Git, REST APIs","Join our engineering team as a Full Stack Developer. You will build and maintain web applications using the MERN stack (MongoDB, Express, React, Node.js). Responsibilities include developing responsive user interfaces, building RESTful APIs, optimizing application performance, and writing unit tests. Strong problem-solving skills and experience with agile development methodologies are required."
4,DevOps Engineer,InfraCore Systems,Pune,DevOps,Mid Level,"AWS, Docker, Kubernetes, Jenkins, Terraform, Linux, CI/CD, Python, Bash, Ansible","We need a DevOps Engineer to streamline our deployment pipelines. You will manage cloud infrastructure on AWS, implement CI/CD pipelines using Jenkins, containerize applications with Docker and Kubernetes, and automate infrastructure provisioning with Terraform. Strong Linux administration skills and scripting abilities in Python and Bash are essential."
5,UI/UX Designer,PixelCraft Studios,Mumbai,Design,Mid Level,"Figma, Adobe XD, Sketch, User Research, Wireframing, Prototyping, HTML, CSS, Design Systems, Usability Testing","Looking for a creative UI/UX Designer to craft exceptional digital experiences. You will conduct user research, create wireframes and prototypes in Figma, design intuitive interfaces, and collaborate closely with developers. Experience building and maintaining design systems is highly valued. You should have a strong portfolio demonstrating user-centered design thinking."
6,Machine Learning Engineer,NeuralPath AI,Bangalore,Data Science,Senior,"Python, PyTorch, TensorFlow, Deep Learning, Computer Vision, MLOps, Docker, AWS, Kubernetes, SQL","Join our AI research team as an ML Engineer. You will develop and deploy production-grade machine learning models for computer vision and NLP applications. Responsibilities include training deep learning models, building ML pipelines, optimizing model performance, and deploying models using MLOps best practices. Experience with PyTorch and cloud deployment is required."
7,Product Manager,LaunchPad Tech,Delhi,Product Management,Mid Level,"Product Strategy, Agile, Scrum, JIRA, Data Analysis, SQL, User Research, A/B Testing, Roadmap Planning, Stakeholder Management","We are hiring a Product Manager to drive our SaaS product roadmap. You will define product vision, prioritize features based on user research and data analysis, collaborate with engineering and design teams, and track KPIs. Strong analytical skills and experience with agile methodologies are essential. Must be able to communicate effectively with technical and non-technical stakeholders."
8,Digital Marketing Specialist,GrowthHive Media,Remote,Marketing,Entry Level,"SEO, Google Analytics, Social Media Marketing, Content Marketing, Email Marketing, Google Ads, Facebook Ads, Copywriting, WordPress","Seeking a Digital Marketing Specialist to manage our online presence. You will create and execute digital marketing campaigns across multiple channels, optimize website SEO, manage social media accounts, analyze campaign performance using Google Analytics, and write engaging content. Experience with paid advertising on Google and Facebook platforms is preferred."
9,Financial Analyst,CapitalWise Partners,Mumbai,Finance,Entry Level,"Excel, Financial Modeling, SQL, Power BI, Accounting, Financial Reporting, Data Analysis, SAP, Bloomberg Terminal","We need a Financial Analyst to support our investment team. You will build financial models, analyze market trends, prepare detailed reports and presentations, and assist with portfolio management. Strong proficiency in Excel and financial modeling is required. Knowledge of Power BI for data visualization and SQL for data querying is a plus."
10,Cybersecurity Analyst,SecureNet Defense,Hyderabad,Cybersecurity,Mid Level,"Network Security, Penetration Testing, SIEM, Firewall Management, Python, Linux, Incident Response, Vulnerability Assessment, ISO 27001, Ethical Hacking","Join our security operations team as a Cybersecurity Analyst. You will monitor network traffic for threats, conduct vulnerability assessments and penetration tests, manage SIEM tools, respond to security incidents, and ensure compliance with security standards like ISO 27001. Strong knowledge of network protocols and Linux systems is essential."
11,Mobile App Developer,AppForge Labs,Bangalore,Software Engineering,Mid Level,"React Native, JavaScript, TypeScript, iOS, Android, Redux, REST APIs, Firebase, Git, UI/UX","We are looking for a Mobile App Developer to build cross-platform mobile applications using React Native. You will develop performant apps for both iOS and Android, integrate with backend APIs, implement state management with Redux, and ensure smooth user experiences. Experience with Firebase for backend services is a plus."
12,Cloud Architect,SkyScale Technologies,Pune,DevOps,Senior,"AWS, Azure, Google Cloud, Microservices, Docker, Kubernetes, Terraform, Serverless, Networking, Security","Seeking a Cloud Architect to design and implement scalable cloud solutions. You will architect multi-cloud environments, design microservices architectures, implement security best practices, optimize cloud costs, and mentor engineering teams. Extensive experience with AWS or Azure and strong understanding of networking and distributed systems is required."
13,Data Analyst,InsightFlow Corp,Delhi,Data Science,Entry Level,"Excel, SQL, Python, Tableau, Power BI, Statistics, Data Visualization, Data Cleaning, Pandas, Reporting","Join our analytics team as a Data Analyst. You will collect and clean large datasets, perform statistical analysis, create interactive dashboards in Tableau and Power BI, and present findings to business stakeholders. Proficiency in SQL for data extraction and Python with Pandas for data manipulation is required. Strong communication skills are essential."
14,Backend Developer - Java,CodeMatrix Solutions,Chennai,Software Engineering,Mid Level,"Java, Spring Boot, Microservices, Hibernate, SQL, PostgreSQL, REST APIs, Kafka, Docker, JUnit","We need a Backend Developer specializing in Java to build enterprise-grade applications. You will design and develop microservices using Spring Boot, implement data persistence with Hibernate and PostgreSQL, build event-driven architectures with Kafka, and write comprehensive unit tests. Experience with containerization using Docker is preferred."
15,Frontend Developer,PixelWave Digital,Remote,Web Development,Entry Level,"HTML, CSS, JavaScript, React, TypeScript, Responsive Design, Git, Webpack, Sass, Accessibility","Looking for a Frontend Developer to create beautiful and responsive web interfaces. You will build React components, implement pixel-perfect designs from Figma mockups, optimize web performance, ensure cross-browser compatibility, and follow accessibility best practices. Strong understanding of modern CSS techniques and responsive design is required."
16,Natural Language Processing Engineer,LinguaAI Labs,Bangalore,Data Science,Senior,"Python, NLP, SpaCy, NLTK, Transformers, BERT, Hugging Face, PyTorch, Text Classification, Sentiment Analysis","Join our NLP team to build cutting-edge language understanding systems. You will develop text classification models, sentiment analysis engines, named entity recognition systems, and conversational AI solutions. Deep expertise in transformer architectures (BERT, GPT), Hugging Face libraries, and PyTorch is essential. Published research in NLP is a strong plus."
17,Project Manager - IT,AgileWorks Consulting,Mumbai,Product Management,Mid Level,"Project Management, Agile, Scrum, PMP, JIRA, MS Project, Risk Management, Budgeting, Communication, Leadership","We are hiring an IT Project Manager to lead complex technology projects. You will plan project timelines, manage budgets, coordinate cross-functional teams, identify and mitigate risks, and ensure on-time delivery. PMP certification and experience with Agile/Scrum methodologies are required. Excellent communication and leadership skills are essential."
18,Graphic Designer,CreativeEdge Agency,Delhi,Design,Entry Level,"Adobe Photoshop, Adobe Illustrator, InDesign, Typography, Brand Design, Print Design, Social Media Graphics, Color Theory, Layout Design","Looking for a talented Graphic Designer to create visual content for our clients. You will design marketing materials, social media graphics, brand identities, print collateral, and digital advertisements. Strong proficiency in Adobe Creative Suite (Photoshop, Illustrator, InDesign) and an eye for typography and color theory are required. Portfolio required."
19,QA Automation Engineer,TestPro Solutions,Hyderabad,Software Engineering,Mid Level,"Selenium, Python, Java, TestNG, CI/CD, JIRA, API Testing, Postman, SQL, Agile","We need a QA Automation Engineer to ensure software quality. You will design and implement automated test frameworks using Selenium, write test scripts in Python or Java, perform API testing with Postman, integrate tests into CI/CD pipelines, and collaborate with developers to identify and fix bugs. Experience with Agile testing practices is required."
20,Business Intelligence Analyst,DataPulse Inc,Chennai,Data Science,Mid Level,"SQL, Power BI, Tableau, Excel, ETL, Data Warehousing, Python, DAX, Business Analysis, Reporting","Seeking a BI Analyst to transform data into actionable business insights. You will design and build interactive dashboards, write complex SQL queries, develop ETL processes, create data models, and present findings to executives. Expert-level proficiency in Power BI or Tableau is required. Experience with data warehousing concepts and DAX is preferred."
21,Blockchain Developer,ChainLogic Technologies,Remote,Software Engineering,Senior,"Solidity, Ethereum, Smart Contracts, Web3.js, Truffle, Node.js, JavaScript, Cryptography, DeFi, Rust","Join our blockchain team to build decentralized applications. You will write and audit smart contracts in Solidity, develop dApps using Web3.js and Truffle, implement DeFi protocols, and ensure security through thorough code audits. Deep understanding of blockchain consensus mechanisms, cryptography, and the Ethereum ecosystem is required."
22,Systems Administrator,NetOps Infrastructure,Pune,DevOps,Entry Level,"Linux, Windows Server, Active Directory, Networking, Bash, PowerShell, VMware, DNS, DHCP, Monitoring","We need a Systems Administrator to manage our IT infrastructure. You will administer Linux and Windows servers, manage Active Directory, configure networking equipment, automate tasks with Bash and PowerShell scripts, manage virtualization platforms, and monitor system performance. Strong troubleshooting skills and knowledge of networking protocols are essential."
23,Content Writer - Technology,TechWords Media,Remote,Marketing,Entry Level,"Content Writing, SEO Writing, Blog Writing, Technical Writing, Research, WordPress, Editing, Social Media, Grammar, Journalism","Looking for a Technology Content Writer to produce engaging tech articles and blog posts. You will research trending tech topics, write SEO-optimized articles, manage content on WordPress, edit and proofread content, and collaborate with the marketing team on content strategy. Excellent English writing skills and basic understanding of technology concepts are required."
24,HR Analytics Specialist,PeopleFirst Solutions,Mumbai,Finance,Mid Level,"HR Analytics, Excel, Power BI, SQL, Python, Workforce Planning, HRIS, Statistics, Data Visualization, Reporting","We are hiring an HR Analytics Specialist to drive data-driven people decisions. You will analyze workforce data, build predictive models for employee retention, create HR dashboards, and present insights to leadership. Strong skills in Excel, SQL, and Power BI are required. Experience with HRIS systems and statistical analysis is preferred."
25,iOS Developer,SwiftApps Studio,Bangalore,Software Engineering,Mid Level,"Swift, SwiftUI, UIKit, Xcode, Core Data, REST APIs, Git, CocoaPods, MVVM, App Store Deployment","Join our mobile team as an iOS Developer. You will design and build advanced iOS applications using Swift and SwiftUI, integrate with RESTful APIs, implement local data persistence with Core Data, optimize app performance, and manage App Store submissions. Strong understanding of Apple Human Interface Guidelines and MVVM architecture is required."
26,Data Engineer,PipelineX Data,Hyderabad,Data Science,Mid Level,"Python, Apache Spark, Airflow, SQL, AWS, ETL, Kafka, Snowflake, Data Modeling, Hadoop","We need a Data Engineer to build and maintain our data infrastructure. You will design ETL pipelines, manage data workflows with Airflow, process large datasets with Apache Spark, build data models for analytics, and maintain data quality. Experience with cloud data platforms like Snowflake and AWS is essential."
27,Technical Writer,DocuTech Solutions,Remote,Marketing,Entry Level,"Technical Writing, API Documentation, Markdown, Git, JIRA, Confluence, HTML, Diagram Tools, User Guides, Style Guides","Seeking a Technical Writer to create clear documentation for our software products. You will write API documentation, user guides, release notes, and troubleshooting guides. Experience with documentation tools like Confluence and Markdown is required. Ability to understand complex technical concepts and communicate them clearly to non-technical audiences is essential."
28,Embedded Systems Engineer,ChipWorks Electronics,Chennai,Software Engineering,Senior,"C, C++, Embedded C, RTOS, ARM, Microcontrollers, IoT, PCB Design, UART, SPI, I2C","We are looking for an Embedded Systems Engineer to develop firmware for IoT devices. You will write embedded C code for ARM microcontrollers, design real-time systems using RTOS, implement communication protocols (UART, SPI, I2C), and collaborate with hardware teams on PCB design. Deep understanding of low-level programming and hardware interfaces is required."
29,Salesforce Developer,CloudCRM Experts,Pune,Software Engineering,Mid Level,"Salesforce, Apex, Visualforce, Lightning, SOQL, REST APIs, JavaScript, Integration, Admin, Certification","Join our CRM team as a Salesforce Developer. You will customize Salesforce using Apex and Lightning components, build integrations with external systems via REST APIs, design workflows and automation, and manage data using SOQL. Salesforce Platform Developer certification is preferred. Experience with Salesforce administration is a plus."
30,Game Developer,PlayForge Studios,Bangalore,Software Engineering,Mid Level,"Unity, C#, Game Physics, 3D Modeling, Shaders, Animation, Git, Multiplayer Networking, UI Design, Optimization","We are hiring a Game Developer to create immersive gaming experiences. You will develop gameplay mechanics in Unity using C#, implement game physics and animation systems, optimize performance for multiple platforms, and build multiplayer networking features. Experience with shader programming and 3D modeling pipelines is preferred."
31,Network Engineer,ConnectPro Networks,Delhi,Cybersecurity,Mid Level,"Cisco, Networking, TCP/IP, Routing, Switching, Firewall, VPN, CCNA, Wireshark, Network Monitoring","Seeking a Network Engineer to manage our enterprise network infrastructure. You will configure and maintain Cisco routers and switches, implement VPN solutions, manage firewalls, troubleshoot network issues, and monitor network performance. CCNA certification is required. Experience with SD-WAN and cloud networking is preferred."
32,Research Scientist - AI,DeepThink Labs,Bangalore,Data Science,Senior,"Python, Deep Learning, Research, PyTorch, TensorFlow, Mathematics, Statistics, Computer Vision, NLP, Publications","Join our research lab as an AI Research Scientist. You will conduct fundamental research in deep learning, publish papers at top conferences (NeurIPS, ICML, CVPR), develop novel architectures, and translate research into production applications. PhD in Computer Science or related field with publications in top-tier venues is required."
33,Android Developer,DroidWorks Mobile,Hyderabad,Software Engineering,Mid Level,"Kotlin, Java, Android SDK, Jetpack Compose, Room, Retrofit, MVVM, Firebase, Git, Material Design","We need an Android Developer to build modern mobile applications. You will develop native Android apps using Kotlin and Jetpack Compose, implement clean architecture with MVVM, integrate with REST APIs using Retrofit, manage local storage with Room database, and follow Material Design guidelines."
34,Site Reliability Engineer,UptimeGuard Services,Mumbai,DevOps,Senior,"Linux, Kubernetes, Prometheus, Grafana, Python, Go, Terraform, Incident Management, SLA, Distributed Systems","Seeking an SRE to ensure the reliability of our production systems. You will define and monitor SLIs/SLOs, manage Kubernetes clusters, build observability solutions with Prometheus and Grafana, automate incident response, and improve system reliability. Strong programming skills in Python or Go and deep understanding of distributed systems are essential."
35,SAP Consultant,EnterpriseLogic Solutions,Pune,Software Engineering,Senior,"SAP, ABAP, SAP HANA, SAP S/4HANA, SAP Fiori, Business Process, Integration, Functional Consulting, Migration, Training","We are hiring a SAP Consultant to lead ERP implementation projects. You will configure SAP S/4HANA modules, develop custom solutions using ABAP, design SAP Fiori applications, migrate legacy systems, and train end users. Extensive experience with SAP implementations and strong business process knowledge are required."
36,Growth Hacker,RocketScale Startups,Remote,Marketing,Mid Level,"Growth Hacking, A/B Testing, Google Analytics, SQL, Python, SEO, Paid Marketing, Funnel Optimization, Email Marketing, Data Analysis","Looking for a Growth Hacker to drive user acquisition and retention. You will design and run growth experiments, optimize conversion funnels, analyze user behavior data, implement A/B tests, and develop creative marketing strategies. Strong analytical skills with proficiency in Google Analytics, SQL, and Python are required."
37,Clinical Data Analyst,HealthData Systems,Chennai,Finance,Mid Level,"Healthcare Analytics, SQL, SAS, R, Clinical Data, Regulatory Compliance, HIPAA, Data Validation, Reporting, Statistics","Seeking a Clinical Data Analyst to support our healthcare research division. You will analyze clinical trial data, ensure regulatory compliance (HIPAA), create statistical reports using SAS and R, validate data quality, and collaborate with medical professionals. Experience in the healthcare industry and knowledge of clinical data standards is required."
38,Robotics Engineer,AutoBot Robotics,Bangalore,Software Engineering,Senior,"ROS, Python, C++, Computer Vision, SLAM, Sensor Fusion, Control Systems, Embedded Systems, Linux, Simulation","Join our robotics team to build next-generation autonomous systems. You will develop robotics software using ROS, implement SLAM and sensor fusion algorithms, design control systems, program embedded systems, and create simulation environments. Strong background in mathematics, control theory, and real-time computing is required."
39,Social Media Manager,ViralVibe Digital,Delhi,Marketing,Entry Level,"Social Media Management, Instagram, Twitter, LinkedIn, Content Creation, Hootsuite, Analytics, Community Management, Video Editing, Graphic Design","We need a Social Media Manager to grow our brand presence across platforms. You will create and schedule social media content, manage community engagement, analyze social metrics, coordinate influencer collaborations, and stay updated on social media trends. Experience with social media management tools like Hootsuite and basic graphic design skills are required."
40,Database Administrator,DataVault Solutions,Hyderabad,DevOps,Mid Level,"PostgreSQL, MySQL, Oracle, SQL Server, Database Optimization, Backup, Recovery, Replication, Performance Tuning, Security","Seeking a Database Administrator to manage our critical database systems. You will administer PostgreSQL and MySQL databases, optimize query performance, implement backup and disaster recovery strategies, manage database replication, and ensure data security. Strong SQL skills and experience with database monitoring tools are essential."
41,Ethical Hacker,CyberShield Security,Remote,Cybersecurity,Senior,"Penetration Testing, Kali Linux, Metasploit, Burp Suite, OWASP, Python, Web Security, Network Security, CEH, Report Writing","We are hiring an Ethical Hacker to identify vulnerabilities in our systems. You will conduct comprehensive penetration tests on web applications and networks, use tools like Metasploit and Burp Suite, document findings in detailed reports, and recommend remediation strategies. CEH or OSCP certification is required. Bug bounty experience is valued."
42,PHP Developer,WebStack Solutions,Chennai,Web Development,Entry Level,"PHP, Laravel, MySQL, JavaScript, jQuery, HTML, CSS, Git, REST APIs, Linux","Looking for a PHP Developer to build and maintain web applications. You will develop features using PHP and Laravel framework, design and optimize MySQL databases, create dynamic front-end features with JavaScript and jQuery, and deploy applications on Linux servers. Understanding of MVC architecture and RESTful API design is required."
43,Computer Vision Engineer,VisionAI Technologies,Bangalore,Data Science,Senior,"Python, OpenCV, Deep Learning, CNN, PyTorch, TensorFlow, Image Processing, Object Detection, YOLO, Segmentation","Join our computer vision team to build state-of-the-art visual recognition systems. You will develop object detection and image segmentation models, optimize inference for edge devices, build image processing pipelines with OpenCV, and deploy models in production. Deep expertise in CNNs, YOLO architectures, and PyTorch is essential."
44,Angular Developer,FrontEdge Technologies,Pune,Web Development,Mid Level,"Angular, TypeScript, RxJS, NgRx, HTML, CSS, REST APIs, Jasmine, Karma, Git","We need an Angular Developer to build enterprise web applications. You will develop complex SPAs using Angular and TypeScript, implement reactive state management with NgRx, write unit tests with Jasmine and Karma, integrate with backend APIs, and optimize application performance. Strong understanding of RxJS and reactive programming is required."
45,Supply Chain Analyst,LogiFlow Analytics,Mumbai,Finance,Entry Level,"Supply Chain Management, Excel, SQL, SAP, Inventory Management, Demand Forecasting, Power BI, Data Analysis, Logistics, Operations","Seeking a Supply Chain Analyst to optimize our logistics operations. You will analyze supply chain data, forecast demand, manage inventory levels, create performance dashboards, and identify cost-saving opportunities. Proficiency in Excel and SQL is required. Experience with SAP and supply chain management concepts is preferred."
46,Technical Support Engineer,SupportHub Technologies,Remote,Software Engineering,Entry Level,"Troubleshooting, Linux, Windows, Networking, Customer Service, Ticketing Systems, SSH, DNS, TCP/IP, Documentation","We need a Technical Support Engineer to provide excellent customer support. You will diagnose and resolve technical issues, manage support tickets, create knowledge base articles, assist with server administration via SSH, and escalate complex issues. Strong communication skills and technical aptitude with Linux and networking fundamentals are required."
47,Rust Developer,SystemsForge Labs,Bangalore,Software Engineering,Senior,"Rust, Systems Programming, Concurrency, Memory Management, WebAssembly, C, Linux, Performance Optimization, Networking, Open Source","Join our systems team as a Rust Developer to build high-performance infrastructure. You will develop systems software in Rust, optimize performance-critical code paths, implement concurrent and parallel algorithms, build WebAssembly modules, and contribute to open-source projects. Deep understanding of memory management and systems programming is required."
48,Motion Graphics Designer,AnimateX Creative,Mumbai,Design,Mid Level,"After Effects, Cinema 4D, Premiere Pro, Animation, Motion Design, Storyboarding, Typography, Sound Design, Video Editing, Illustration","Looking for a Motion Graphics Designer to create stunning visual content. You will design motion graphics for marketing campaigns, social media, and product demos. Expertise in Adobe After Effects and Cinema 4D is required. Strong skills in animation principles, storyboarding, and visual storytelling are essential. Music/sound design knowledge is a plus."
49,Scrum Master,AgileFirst Consulting,Delhi,Product Management,Mid Level,"Scrum, Agile, Kanban, JIRA, Facilitation, Coaching, Conflict Resolution, Sprint Planning, Retrospectives, CSM","We are hiring a Scrum Master to guide our development teams. You will facilitate scrum ceremonies, remove impediments, coach teams on agile best practices, track sprint metrics, and foster a culture of continuous improvement. Certified Scrum Master (CSM) certification is required. Experience coaching multiple teams simultaneously is preferred."
50,Power Platform Developer,AutomateNow Solutions,Remote,Software Engineering,Mid Level,"Power Apps, Power Automate, Power BI, SharePoint, Microsoft 365, DAX, SQL, JavaScript, Azure, Dataverse","Seeking a Power Platform Developer to build business automation solutions. You will create custom apps with Power Apps, design automated workflows with Power Automate, build analytics dashboards with Power BI, and integrate with Microsoft 365 ecosystem. Experience with Dataverse, Azure, and DAX is required."
51,Penetration Tester,RedTeam Security,Hyderabad,Cybersecurity,Mid Level,"Penetration Testing, Kali Linux, Nmap, Wireshark, Python, OWASP Top 10, SQL Injection, XSS, Reverse Engineering, Reporting","We need a Penetration Tester to assess our application security. You will conduct web application and network penetration tests, exploit vulnerabilities, write detailed technical reports, and help development teams remediate issues. Expertise with OWASP Top 10 vulnerabilities, common attack vectors, and security testing tools is essential."
52,WordPress Developer,WebCraft Digital,Chennai,Web Development,Entry Level,"WordPress, PHP, HTML, CSS, JavaScript, WooCommerce, Elementor, SEO, MySQL, Git","Looking for a WordPress Developer to build custom websites. You will create custom themes and plugins, optimize site performance and SEO, manage WooCommerce stores, implement responsive designs, and maintain existing WordPress sites. Strong PHP knowledge and experience with popular page builders like Elementor are required."
53,AI Product Manager,IntelliProduct AI,Bangalore,Product Management,Senior,"AI/ML, Product Management, Data Strategy, Agile, User Research, A/B Testing, SQL, Python, Roadmap Planning, Cross-functional Leadership","Seeking an AI Product Manager to lead our AI-powered product suite. You will define AI product strategy, translate business requirements into ML specifications, collaborate with data science and engineering teams, measure model performance impact on business metrics, and communicate AI capabilities to stakeholders. Technical background in ML and strong product sense are required."
54,Vue.js Developer,FrameworkFirst Labs,Remote,Web Development,Mid Level,"Vue.js, JavaScript, TypeScript, Vuex, Nuxt.js, HTML, CSS, REST APIs, Git, Testing","We are hiring a Vue.js Developer to build modern web applications. You will develop SPAs using Vue.js and Nuxt.js, implement state management with Vuex or Pinia, build reusable component libraries, integrate with backend APIs, and write unit and integration tests. Strong JavaScript/TypeScript skills and understanding of reactive frameworks are required."
55,Quantitative Analyst,AlphaQuant Finance,Mumbai,Finance,Senior,"Python, R, Statistics, Machine Learning, Financial Modeling, Time Series Analysis, Stochastic Calculus, Bloomberg, SQL, Risk Management","Join our quantitative research team. You will develop statistical models for trading strategies, analyze financial time series data, implement risk management frameworks, build pricing models, and back-test quantitative strategies. Advanced degree in Mathematics, Statistics, or Physics with strong programming skills in Python and R is required."
